Index,종목코드,종목명,시장구분,연도,결산월,업종,업종별 배당률,주식배당,현금배당_액면가,현금배당_주당배당금,현금배당_시가배당률,현금배당_배당성향,현금배당_기말주식수,현금배당_총배당금액,주가,배당횟수,총자산,장부가치 자기자본,세후영업이익,총자산변화율,총매출액,영업이익률,영업이익률 표준편차
183.0,500.0,가온전선,KOSPI,2020.0,12.0,전기·전자,1.4,-,"5,000",600,2.74,24.812,"4,160,347","2,358,629,400",17993.0,1.0,542461377882.0,263562215682 ,12650885274.0,5.83,857415249064.0,1.48,0.65
184.0,500.0,가온전선,KOSPI,2021.0,12.0,전기·전자,2.7,-,"5,000",420,1.75,28.204,"4,160,347","1,651,040,580",19643.0,1.0,658966428816.0,268115290322 ,16571777888.0,21.48,1070383204799.0,1.55,0.41
185.0,500.0,가온전선,KOSPI,2022.0,12.0,전기·전자,1.8,-,"5,000",50,0.24,1.485,"6,358,926","155,421,750",18645.0,1.0,752332445010.0,303070555819 ,28462568691.0,14.17,1416454404337.0,2.01,0.56
187.0,520.0,삼일제약,KOSPI,2016.0,12.0,제약,0.49,-,"1,000",150,1.8,86.306,"5,500,000","765,534,000",3679.0,1.0,100995488961.0,52870789379 ,3853289255.0,1.7,96758065722.0,3.98,1.53
188.0,520.0,삼일제약,KOSPI,2017.0,12.0,제약,0.25,-,"1,000",150,1.9,-60.421,"5,500,000","765,534,000",3731.0,1.0,135477088917.0,51167278734 ,1307014863.0,34.14,92037814986.0,1.42,1.38
189.0,520.0,삼일제약,KOSPI,2018.0,12.0,제약,0.19,-,"1,000",100,0.5,-7.128,"6,500,000","610,351,000",9421.0,1.0,147948619245.0,56082998537 ,-5731790408.0,9.21,94599866210.0,-6.06,4.38
190.0,520.0,삼일제약,KOSPI,2019.0,12.0,제약,0.21,-,"1,000",150,0.7,116.908,"6,500,000","918,894,750",9627.0,1.0,183874717250.0,62272435623 ,4822839404.0,24.28,121107085914.0,3.98,4.14
191.0,520.0,삼일제약,KOSPI,2020.0,12.0,제약,0.11,-,"1,000",150,0.7,69.996,"6,694,896","938,643,750",9421.0,1.0,191660926981.0,63551208750 ,6538397865.0,4.23,122998992149.0,5.32,4.58
192.0,520.0,삼일제약,KOSPI,2021.0,12.0,제약,0.12,-,500,80,1,-18.724,"13,537,283","1,001,152,400",7628.0,1.0,226404983052.0,65746492511 ,399740768.0,18.13,134246777887.0,0.3,4.42
193.0,590.0,CS홀딩스,KOSPI,2016.0,12.0,일반서비스,1.3,-,"5,000",500,0.62,3.347,"1,154,482","573,660,500",80700.0,1.0,293927435342.0,261888704106 ,19832913404.0,3.16,123144962095.0,16.11,0.16
194.0,590.0,CS홀딩스,KOSPI,2017.0,12.0,기타금융,0.75,-,"5,000",500,0.6,4.021,"1,154,482","573,660,500",80200.0,1.0,302433875442.0,269430420723 ,17036018175.0,2.89,120959821888.0,14.08,1.24
195.0,590.0,CS홀딩스,KOSPI,2018.0,12.0,기타금융,1.01,-,"5,000",500,0.8,4.538,"1,154,482","573,660,500",63900.0,1.0,304418192853.0,274752759527 ,13319440370.0,0.66,122550868578.0,10.87,2.53
196.0,590.0,CS홀딩스,KOSPI,2019.0,12.0,기타금융,1.05,-,"5,000",500,0.9,3.455,"1,154,482","573,660,500",58500.0,1.0,314291512839.0,286152713131 ,17025221715.0,3.24,134971514129.0,12.61,2.32
197.0,590.0,CS홀딩스,KOSPI,2020.0,12.0,기타금융,1.04,-,"5,000",500,0.9,4.847,"1,154,482","573,660,500",59000.0,1.0,323725567844.0,295561249297 ,15901269821.0,3.0,131637084502.0,12.08,2.02
198.0,590.0,CS홀딩스,KOSPI,2021.0,12.0,기타금융,1.34,-,"5,000",500,0.8,2.696,"1,154,482","567,910,500",64100.0,1.0,353716995747.0,312195867796 ,19647701659.0,9.26,159017955309.0,12.36,1.15
199.0,590.0,CS홀딩스,KOSPI,2022.0,12.0,기타금융,1.62,-,"5,000",500,0.8,2.972,"1,154,482","558,310,500",57600.0,1.0,364121570785.0,330428149572 ,15632045335.0,2.94,175266452048.0,8.92,1.52
200.0,590.0,CS홀딩스,KOSPI,2023.0,12.0,기타금융,0.34,-,"5,000",500,0.8,2.432,"1,154,482","538,552,000",61900.0,1.0,383909710687.0,347206891081 ,19128717935.0,5.43,171965239524.0,11.12,1.51
202.0,640.0,동아쏘시오홀딩스,KOSPI,2016.0,12.0,일반서비스,1.3,-,"5,000","1,000",0.7,3.444,"6,050,313","6,050,313,000",156500.0,1.0,1402215519614.0,875857422879 ,75998662176.0,14.61,726165504518.0,10.47,0.95
203.0,640.0,동아쏘시오홀딩스,KOSPI,2017.0,12.0,기타금융,0.75,-,"5,000","1,000",0.8,18.862,"6,138,228","6,138,228,000",128000.0,1.0,1459445277379.0,914248452777 ,53374417534.0,4.08,690264581707.0,7.73,1.37
204.0,640.0,동아쏘시오홀딩스,KOSPI,2018.0,12.0,기타금융,1.01,-,"5,000","1,000",0.9,-3.745,"6,138,294","6,138,294,000",109000.0,1.0,1241932781639.0,735763001411 ,50548771797.0,-14.9,707495924243.0,7.14,1.49
205.0,640.0,동아쏘시오홀딩스,KOSPI,2019.0,12.0,기타금융,1.05,-,"5,000","1,000",0.9,30.73,"6,138,297","6,138,297,000",107500.0,1.0,1358576945107.0,746903865903 ,52823155830.0,9.39,769685605087.0,6.86,1.51
206.0,640.0,동아쏘시오홀딩스,KOSPI,2020.0,12.0,기타금융,1.04,-,"5,000","1,000",0.8,3.731,"6,155,138","6,057,156,000",122500.0,1.0,1511106332704.0,888723630672 ,50609922157.0,11.23,783315662469.0,6.46,1.6
207.0,640.0,동아쏘시오홀딩스,KOSPI,2021.0,12.0,기타금융,1.34,-,"5,000","1,500",1.3,15.493,"6,347,506","9,375,270,000",115000.0,2.0,1691388335986.0,985040574378 ,61564188030.0,11.93,881944084032.0,6.98,0.46
208.0,640.0,동아쏘시오홀딩스,KOSPI,2022.0,12.0,기타금융,1.62,-,"5,000","1,000",1,79.779,"6,348,913","6,250,723,000",101500.0,2.0,1731452067203.0,998660789749 ,37854827137.0,2.37,1014860897959.0,3.73,1.42
209.0,640.0,동아쏘시오홀딩스,KOSPI,2023.0,12.0,기타금융,0.34,-,"5,000","1,200",1.2,13.427,"6,348,913","7,500,867,600",101000.0,2.0,1957106350366.0,1027309301757 ,76881723048.0,13.03,1132002860400.0,6.79,1.37
211.0,650.0,천일고속,KOSPI,2016.0,12.0,운송·창고,0.87,-,"5,000","8,000",8.7,456.84,"1,429,220","11,416,432,000",90600.0,3.0,52541980820.0,38855134968 ,1080850953.0,-16.69,58413360927.0,1.85,2.09
212.0,650.0,천일고속,KOSPI,2017.0,12.0,운송·창고,0.83,-,"5,000","15,300",15.3,80.559,"1,429,220","21,833,926,200",94700.0,4.0,67842441665.0,47138780278 ,-2011367370.0,29.12,55245922217.0,-3.64,4.28
213.0,650.0,천일고속,KOSPI,2018.0,12.0,운송·창고,1.02,-,"5,000","6,000",6.9,"-2,757.59","1,429,220","5,708,216,000",79400.0,3.0,80409026731.0,61883653882 ,-3153331551.0,18.52,55559197497.0,-5.68,4.84
214.0,650.0,천일고속,KOSPI,2019.0,12.0,운송·창고,1.02,-,"5,000","5,000",6.9,647.903,"1,429,220","4,684,336,000",70000.0,4.0,80044782325.0,51003766841 ,560732152.0,-0.45,59633084814.0,0.94,4.25
215.0,650.0,천일고속,KOSPI,2020.0,12.0,운송·창고,0.57,-,"5,000","3,000",4.1,-63.303,"1,429,220","4,281,162,000",70400.0,2.0,67019917354.0,37939021340 ,-9995625509.0,-16.27,31159428124.0,-32.08,13.97
216.0,650.0,천일고속,KOSPI,2021.0,12.0,운송·창고,0.4,-,"5,000","2,500",3.6,-628.105,"1,429,220","3,567,635,000",67300.0,1.0,62706049934.0,35928246855 ,-9844065237.0,-6.44,29342954504.0,-33.55,16.63
218.0,660.0,SK하이닉스,KOSPI,2016.0,12.0,전기·전자,1.06,-,"5,000",600,1.3,14.309,"728,002,365","423,601,077,000",44700.0,1.0,32216026000000.0,24023530000000 ,3276750000000.0,8.55,17197975000000.0,19.05,6.6
219.0,660.0,SK하이닉스,KOSPI,2017.0,12.0,전기·전자,0.97,-,"5,000","1,000",1.3,6.634,"728,002,365","706,001,795,000",76500.0,1.0,45418464000000.0,33820919000000 ,13721300000000.0,40.98,30109434000000.0,45.57,13.45
220.0,660.0,SK하이닉스,KOSPI,2018.0,12.0,전기·전자,1.92,-,"5,000","1,500",2.5,6.602,"728,002,365","1,026,002,692,500",60500.0,1.0,63658335000000.0,46852331000000 ,20843800000000.0,40.16,40445066000000.0,51.54,15.04
221.0,660.0,SK하이닉스,KOSPI,2019.0,12.0,전기·전자,2.14,-,"5,000","1,000",1.1,33.922,"728,002,365","684,001,795,000",94100.0,1.0,64789494000000.0,47943195000000 ,2712720000000.0,1.78,26990733000000.0,10.05,17.48
222.0,660.0,SK하이닉스,KOSPI,2020.0,12.0,전기·전자,1.4,-,"5,000","1,170",1,16.816,"728,002,365","800,282,100,150",118500.0,1.0,71173853000000.0,51909097000000 ,5012620000000.0,9.85,31900418000000.0,15.71,18.81
223.0,660.0,SK하이닉스,KOSPI,2021.0,12.0,전기·전자,2.7,-,"5,000","1,540",1.2,11.012,"728,002,365","1,058,935,836,420",131000.0,1.0,96386474000000.0,62191058000000 ,12410300000000.0,35.42,42997792000000.0,28.86,18.09
224.0,660.0,SK하이닉스,KOSPI,2022.0,12.0,전기·전자,1.8,-,"5,000","1,200",1.5,36.811,"728,002,365","825,180,276,000",75000.0,4.0,103871512000000.0,63290542000000 ,6809420000000.0,7.77,44621568000000.0,15.26,16.74
225.0,660.0,SK하이닉스,KOSPI,2023.0,12.0,전기·전자,1.25,-,"5,000","1,200",0.9,-9.037,"728,002,365","825,721,303,800",141500.0,4.0,100330165000000.0,53503752000000 ,-7730310000000.0,-3.41,32765719000000.0,-23.59,19.63
227.0,670.0,영풍,KOSPI,2016.0,12.0,금속,2.06,-,"5,000","10,000",0.9,13.504,"1,842,040","17,201,340,000",1030589.0,1.0,4134902348882.0,3142310135880 ,-4150400981.0,3.69,2654083285428.0,-0.16,0.04
228.0,670.0,영풍,KOSPI,2017.0,12.0,금속,1.85,-,"5,000","10,000",0.9,6.317,"1,842,040","17,201,340,000",1040275.0,1.0,4803738858844.0,3469510849085 ,159425000000.0,16.18,3724854999008.0,4.28,2.58
229.0,670.0,영풍,KOSPI,2018.0,12.0,금속,2.47,-,"5,000","10,000",1.3,37.203,"1,842,040","17,201,340,000",721606.0,1.0,4721553262766.0,3507370869181 ,-108919000000.0,-1.71,2971432405324.0,-3.67,3.26
230.0,670.0,영풍,KOSPI,2019.0,12.0,금속,3.04,-,"5,000","10,000",1.6,8.294,"1,842,040","17,201,340,000",624746.0,1.0,4832690295550.0,3698450518047 ,84396705015.0,2.35,3084133443662.0,2.74,3.07
231.0,670.0,영풍,KOSPI,2020.0,12.0,금속,2.73,-,"5,000","10,000",1.9,20.154,"1,842,040","17,201,340,000",521106.0,1.0,5000855951482.0,3712136488767 ,46683478556.0,3.48,3183432777257.0,1.47,3.05
232.0,670.0,영풍,KOSPI,2021.0,12.0,금속,2.09,-,"5,000","10,000",1.5,10.115,"1,842,040","17,201,340,000",634432.0,1.0,5521001405617.0,3902290707844 ,-26784314362.0,10.4,3582074826364.0,-0.75,3.11
233.0,670.0,영풍,KOSPI,2022.0,12.0,금속,4.05,-,"5,000","10,000",1.6,4.139,"1,842,040","17,201,340,000",586002.0,1.0,5871933652466.0,4403386626977 ,68871997441.0,6.36,4429488166601.0,1.55,2.54
