종목코드,연도,영업이익률,영업이익률 표준편차
001530,2016,2.1,0.53
001530,2017,2.59,0.62
001530,2018,4.89,1.53
001530,2019,5.17,1.71
001530,2020,3.88,1.36
001530,2021,5.98,1.31
001530,2022,4.9,0.75
001530,2023,0.92,1.97
001540,2015,6.54,
001540,2016,2.39,2.93
001540,2017,5.67,2.19
001540,2018,8.27,2.47
001540,2019,1.55,2.84
001540,2020,-0.04,3.35
001540,2021,-0.66,3.86
001540,2022,4.71,3.71
001540,2023,2.17,2.11
001560,2015,4.77,
001560,2016,4.83,0.04
001560,2017,7.63,1.63
001560,2018,6.83,1.44
001560,2019,8.54,1.68
001560,2020,4.89,1.65
001560,2021,8.28,1.47
001560,2022,6.15,1.52
001560,2023,9.26,1.83
001570,2015,4.31,
001570,2016,7.19,2.04
001570,2017,7.29,1.69
001570,2018,6.58,1.39
001570,2019,5.33,1.29
001570,2020,3.41,1.63
001570,2021,5.57,1.47
001570,2022,3.91,1.29
001570,2023,-9.61,6.4
001630,2015,12.7,
001630,2016,6.87,4.12
001630,2017,9.65,2.92
001630,2018,10.11,2.39
001630,2019,11.96,2.28
001630,2020,10.4,1.85
001630,2021,3.72,3.17
001630,2022,-3.62,6.48
001630,2023,1.93,6.38
001680,2015,4.17,
001680,2016,3.89,0.2
001680,2017,3.26,0.47
001680,2018,4.06,0.41
001680,2019,4.38,0.43
001680,2020,5.6,0.86
001680,2021,4.42,0.84
001680,2022,3.43,0.79
001680,2023,3.01,1.01
001740,2015,0.94,
001740,2016,0.91,0.02
001740,2017,0.94,0.02
001740,2018,0.99,0.03
001740,2019,0.84,0.06
001740,2020,1.17,0.12
001740,2021,1.11,0.13
001740,2022,1.6,0.29
001740,2023,2.6,0.69
001770,2015,4.6,
001770,2016,0.86,2.64
001770,2017,-2.95,3.78
001770,2018,4.44,3.57
001770,2019,1.37,3.1
001770,2020,0.24,2.64
001770,2021,5.45,3.37
001770,2022,11.32,4.34
001770,2023,0.63,4.69
001780,2015,5.54,
001780,2016,5.71,0.12
001780,2017,4.5,0.66
001780,2018,2.38,1.53
001780,2019,2.69,1.56
001780,2020,5.0,1.46
001780,2021,3.3,1.14
001780,2022,5.36,1.36
001780,2023,6.37,1.52
001790,2015,2.28,
001790,2016,3.54,0.89
001790,2017,1.29,1.13
001790,2018,2.54,0.92
001790,2019,2.45,0.8
001790,2020,3.81,1.0
001790,2021,3.33,0.96
001790,2022,2.76,0.58
001790,2023,3.54,0.56
001800,2015,12.56,
001800,2016,13.67,0.78
001800,2017,4.35,5.09
001800,2018,11.54,4.21
001800,2019,12.68,3.77
001800,2020,13.53,3.9
001800,2021,13.07,3.81
001800,2022,13.62,0.84
001800,2023,13.73,0.44
001810,2015,4.54,
001810,2016,4.76,0.16
001810,2017,3.71,0.55
001810,2018,1.29,1.59
001810,2019,0.86,1.84
001810,2020,5.27,2.01
001810,2021,4.61,1.98
001810,2022,-4.68,3.95
001810,2023,-4.5,4.78
001820,2015,3.4,
001820,2016,5.49,1.48
001820,2017,11.06,3.96
001820,2018,29.64,11.94
001820,2019,14.65,10.39
001820,2020,11.17,9.13
001820,2021,12.65,7.85
001820,2022,11.58,7.78
001820,2023,8.44,2.27
001840,2015,1.06,
001840,2016,0.97,0.06
001840,2017,0.81,0.13
001840,2018,0.03,0.47
001840,2019,0.09,0.49
001840,2020,0.51,0.42
001840,2021,-2.46,1.3
001840,2022,0.07,1.19
001840,2023,-0.72,1.18
001940,2015,8.31,
001940,2016,8.23,0.06
001940,2017,7.97,0.18
001940,2018,4.74,1.72
001940,2019,4.87,1.85
001940,2020,7.77,1.75
001940,2021,12.7,3.23
001940,2022,10.93,3.57
001940,2023,9.68,3.01
002020,2015,1.08,
002020,2016,3.48,1.7
002020,2017,2.43,1.2
002020,2018,2.58,0.99
002020,2019,2.83,0.88
002020,2020,5.55,1.28
002020,2021,6.14,1.79
002020,2022,5.49,1.68
002020,2023,1.75,1.94
002030,2015,5.76,
002030,2016,7.86,1.48
002030,2017,5.36,1.34
002030,2018,11.28,2.71
002030,2019,10.25,2.64
002030,2020,9.62,2.32
002030,2021,12.39,2.69
002030,2022,11.22,1.06
002030,2023,11.36,1.07
002070,2015,-3.79,
002070,2016,-0.95,2.01
002070,2017,-0.7,1.72
002070,2018,-2.14,1.41
002070,2019,-0.23,1.43
002070,2020,1.1,1.18
002070,2021,0.76,1.29
002070,2022,2.68,1.78
002070,2023,2.24,1.17
002100,2015,6.17,
002100,2016,4.49,1.19
002100,2017,4.09,1.1
002100,2018,6.95,1.36
002100,2019,3.82,1.38
002100,2020,5.75,1.31
002100,2021,6.2,1.36
002100,2022,11.33,2.78
002100,2023,7.26,2.79
002140,2015,3.65,
002140,2016,3.88,0.16
002140,2017,3.41,0.24
002140,2018,3.67,0.19
002140,2019,3.02,0.33
002140,2020,4.82,0.67
002140,2021,2.28,0.93
002140,2022,1.59,1.25
002140,2023,2.5,1.22
002150,2015,1.65,
002150,2016,4.58,2.07
002150,2017,4.14,1.58
002150,2018,4.3,1.36
002150,2019,5.24,1.37
002150,2020,4.18,0.45
002150,2021,3.46,0.64
002150,2022,2.15,1.15
002150,2023,3.81,1.12
002170,2015,5.6,
002170,2016,15.89,7.28
002170,2017,17.69,6.52
002170,2018,17.54,5.78
002170,2019,25.73,7.19
002170,2020,29.08,5.84
002170,2021,18.76,5.31
002170,2022,9.2,7.74
002170,2023,9.87,9.02
002200,2015,1.18,
002200,2016,1.34,0.11
002200,2017,-2.81,2.35
002200,2018,8.23,4.58
002200,2019,7.1,4.58
002200,2020,4.11,4.48
002200,2021,6.27,4.4
002200,2022,7.53,1.59
002200,2023,7.33,1.4
002220,2015,-5.34,
002220,2016,5.15,7.42
002220,2017,2.88,5.52
002220,2018,-1.22,4.63
002220,2019,-4.23,4.51
002220,2020,-2.7,3.92
002220,2021,11.92,6.48
002220,2022,1.58,6.43
002220,2023,2.25,6.31
002230,2015,15.83,
002230,2016,8.88,4.91
002230,2017,11.46,3.51
002230,2018,-2.08,7.63
002230,2019,-3.43,8.5
002230,2020,-1.12,6.89
002230,2021,2.24,5.99
002230,2022,-2.59,2.2
002230,2023,1.22,2.43
002240,2015,3.01,
002240,2016,2.61,0.28
002240,2017,2.5,0.27
002240,2018,2.41,0.26
002240,2019,1.93,0.39
002240,2020,0.7,0.79
002240,2021,5.83,1.9
002240,2022,6.44,2.53
002240,2023,3.15,2.47
002290,2015,4.42,
002290,2016,0.22,2.97
002290,2017,4.6,2.48
002290,2018,5.41,2.34
002290,2019,4.76,2.08
002290,2020,4.0,2.06
002290,2021,4.49,0.51
002290,2022,3.4,0.76
002290,2023,3.95,0.53
002310,2015,-0.11,
002310,2016,3.87,2.81
002310,2017,0.74,2.1
002310,2018,12.67,5.84
002310,2019,10.19,5.7
002310,2020,8.98,4.87
002310,2021,9.93,4.55
002310,2022,10.69,1.37
002310,2023,9.64,0.64
002320,2015,2.51,
002320,2016,-0.87,2.39
002320,2017,1.19,1.7
002320,2018,2.16,1.52
002320,2019,4.4,1.93
002320,2020,4.78,2.34
002320,2021,3.97,1.55
002320,2022,4.02,1.01
002320,2023,4.36,0.33
002350,2015,12.24,
002350,2016,13.09,0.6
002350,2017,9.44,1.91
002350,2018,9.2,1.96
002350,2019,10.25,1.73
002350,2020,2.32,3.97
002350,2021,0.21,4.66
002350,2022,-2.09,5.49
002350,2023,6.92,5.02
002360,2015,10.6,
002360,2016,11.04,0.31
002360,2017,7.54,1.91
002360,2018,1.14,4.57
002360,2019,-2.22,5.9
002360,2020,-8.39,7.73
002360,2021,0.25,5.77
002360,2022,0.48,3.93
002360,2023,-3.07,3.59
002380,2015,9.06,
002380,2016,9.36,0.21
002380,2017,8.54,0.41
002380,2018,6.44,1.32
002380,2019,4.9,1.92
002380,2020,2.63,2.73
002380,2021,6.62,2.2
002380,2022,6.9,1.78
002380,2023,4.97,1.71
002390,2015,1.74,
002390,2016,0.92,0.58
002390,2017,-0.45,1.11
002390,2018,4.94,2.29
002390,2019,5.81,2.68
002390,2020,5.63,2.92
002390,2021,5.41,2.66
002390,2022,5.24,0.34
002390,2023,2.41,1.41
002450,2015,9.23,
002450,2016,6.41,1.99
002450,2017,2.18,3.55
002450,2018,9.86,3.5
002450,2019,10.43,3.41
002450,2020,8.14,3.32
002450,2021,11.29,3.65
002450,2022,3.55,3.08
002450,2023,2.61,3.95
002460,2015,5.14,
002460,2016,8.87,2.64
002460,2017,10.38,2.7
002460,2018,14.12,3.72
002460,2019,6.56,3.5
002460,2020,9.66,2.75
002460,2021,6.78,3.09
002460,2022,2.25,4.38
002460,2023,2.78,3.08
002600,2015,5.82,
002600,2016,8.89,2.17
002600,2017,8.68,1.72
002600,2018,6.76,1.49
002600,2019,6.33,1.4
002600,2020,5.3,1.55
002600,2021,7.6,1.28
002600,2022,4.62,1.18
002600,2023,3.85,1.47
002620,2015,2.21,
002620,2016,1.52,0.49
002620,2017,0.66,0.78
002620,2018,7.67,3.17
002620,2019,1.23,2.86
002620,2020,2.95,2.85
002620,2021,-1.18,3.36
002620,2022,-0.95,3.62
002620,2023,2.59,1.93
002690,2015,7.67,
002690,2016,5.86,1.28
002690,2017,0.98,3.46
002690,2018,-0.22,3.79
002690,2019,0.77,3.51
002690,2020,-0.1,2.52
002690,2021,4.32,1.85
002690,2022,1.25,1.85
002690,2023,-1.61,2.19
002700,2015,-4.84,
002700,2016,3.56,5.94
002700,2017,7.33,6.23
002700,2018,8.76,6.1
002700,2019,1.08,5.41
002700,2020,3.62,3.12
002700,2021,4.96,3.03
002700,2022,1.4,3.12
002700,2023,1.09,1.77
002710,2015,3.2,
002710,2016,3.45,0.18
002710,2017,2.07,0.74
002710,2018,4.13,0.86
002710,2019,2.94,0.75
002710,2020,0.22,1.51
002710,2021,4.77,1.79
002710,2022,6.43,2.32
002710,2023,1.8,2.44
002720,2015,1.78,
002720,2016,3.29,1.07
002720,2017,2.08,0.8
002720,2018,3.05,0.73
002720,2019,5.01,1.27
002720,2020,4.63,1.2
002720,2021,-1.4,2.57
002720,2022,4.17,2.62
002720,2023,-1.47,3.32
002760,2015,4.12,
002760,2016,5.69,1.11
002760,2017,3.82,1.0
002760,2018,3.92,0.88
002760,2019,1.75,1.4
002760,2020,0.38,2.07
002760,2021,4.26,1.69
002760,2022,6.78,2.46
002760,2023,1.08,2.64
002790,2015,16.14,
002790,2016,16.17,0.02
002790,2017,12.13,2.32
002790,2018,9.04,3.45
002790,2019,7.93,3.86
002790,2020,3.06,4.88
002790,2021,6.69,3.32
002790,2022,6.05,2.27
002790,2023,3.78,2.03
002800,2016,9.53,
002800,2017,7.31,1.57
002800,2018,4.76,2.39
002800,2019,3.43,2.71
002800,2020,-6.21,6.05
002800,2021,-1.81,5.44
002800,2022,5.9,5.09
002800,2023,5.85,5.3
002810,2015,1.31,
002810,2016,2.33,0.72
002810,2017,3.82,1.26
002810,2018,2.53,1.03
002810,2019,3.35,0.97
002810,2020,5.7,1.35
002810,2021,5.13,1.3
002810,2022,3.93,1.29
002810,2023,3.6,1.02
002820,2015,2.1,
002820,2016,2.52,0.3
002820,2017,0.4,1.12
002820,2018,-1.26,1.73
002820,2019,-4.11,2.71
002820,2020,-0.92,2.43
002820,2021,-4.7,2.19
002820,2022,-3.49,1.71
002820,2023,-6.84,2.14
002840,2015,7.71,
002840,2016,7.55,0.11
002840,2017,3.45,2.41
002840,2018,8.27,2.22
002840,2019,12.9,3.36
002840,2020,14.54,4.44
002840,2021,15.89,5.11
002840,2022,17.58,3.56
002840,2023,15.96,1.75
002870,2015,-17.59,
002870,2016,1.59,13.56
002870,2017,-1.42,10.32
002870,2018,7.89,10.86
002870,2019,7.24,10.34
002870,2020,-30.73,15.94
002870,2021,-15.31,16.48
002870,2022,-22.37,17.51
002870,2023,-14.87,14.11
002880,2015,4.5,
002880,2016,2.01,1.76
002880,2017,1.1,1.76
002880,2018,0.6,1.73
002880,2019,2.44,1.51
002880,2020,3.22,1.05
002880,2021,2.55,1.09
002880,2022,-2.28,2.23
002880,2023,6.37,3.1
002900,2015,1.48,
002900,2016,0.91,0.4
002900,2017,-0.36,0.94
002900,2018,-0.92,1.11
002900,2019,2.22,1.29
002900,2020,4.08,2.02
002900,2021,4.19,2.41
002900,2022,10.46,4.16
002900,2023,9.14,3.57
002920,2015,1.85,
002920,2016,2.53,0.48
002920,2017,1.29,0.62
002920,2018,1.29,0.59
002920,2019,4.18,1.2
002920,2020,-0.63,1.77
002920,2021,2.7,1.8
002920,2022,2.27,1.78
002920,2023,2.57,1.75
002960,2015,17.46,
002960,2016,16.63,0.59
002960,2017,14.27,1.66
002960,2018,14.12,1.68
002960,2019,12.12,2.14
002960,2020,15.47,1.68
002960,2021,15.76,1.44
002960,2022,11.63,1.89
002960,2023,13.2,1.9
002990,2015,1.36,
002990,2016,3.09,1.22
002990,2017,2.39,0.87
002990,2018,3.07,0.81
002990,2019,3.47,0.83
002990,2020,4.44,0.75
002990,2021,5.4,1.18
002990,2022,2.73,1.09
002990,2023,0.98,1.69
003000,2015,16.38,
003000,2016,6.16,7.23
003000,2017,5.09,6.23
003000,2018,18.09,6.75
003000,2019,5.67,6.39
003000,2020,2.37,6.11
003000,2021,3.08,6.42
003000,2022,-0.12,7.16
003000,2023,-29.78,14.69
003010,2015,0.97,
003010,2016,2.45,1.05
003010,2017,1.06,0.83
003010,2018,2.85,0.96
003010,2019,4.52,1.46
003010,2020,4.05,1.37
003010,2021,4.39,1.45
003010,2022,1.51,1.28
003010,2023,3.31,1.24
003030,2015,3.55,
003030,2016,4.3,0.53
003030,2017,5.2,0.83
003030,2018,4.52,0.68
003030,2019,2.39,1.07
003030,2020,2.91,1.17
003030,2021,10.52,3.24
003030,2022,14.34,5.25
003030,2023,15.1,6.1
003070,2015,1.39,
003070,2016,1.91,0.37
003070,2017,1.98,0.32
003070,2018,2.29,0.37
003070,2019,3.6,0.83
003070,2020,4.49,1.14
003070,2021,5.09,1.35
003070,2022,6.41,1.55
003070,2023,0.48,2.22
003080,2015,9.73,
003080,2016,2.21,5.32
003080,2017,-4.72,7.23
003080,2018,0.59,5.97
003080,2019,-10.4,7.57
003080,2020,-7.18,5.27
003080,2021,1.8,5.16
003080,2022,2.87,5.94
003080,2023,0.32,5.91
003090,2015,8.0,
003090,2016,6.01,1.41
003100,2015,8.14,
003100,2016,10.41,1.61
003100,2017,14.58,3.27
003100,2018,11.62,2.68
003100,2019,16.73,3.4
003100,2020,18.84,3.49
003100,2021,19.76,3.3
003100,2022,15.55,3.2
003100,2023,21.09,2.25
003120,2015,4.19,
003120,2016,3.64,0.39
003120,2017,3.86,0.28
003120,2018,3.66,0.26
003120,2019,-2.6,2.89
003120,2020,-4.8,4.14
003120,2021,-4.27,4.27
003120,2022,2.12,3.84
