종목코드,연도,배당횟수,총자산,장부가치 자기자본,세후영업이익,총자산변화율,총매출액,영업이익률,영업이익률 표준편차
376290,2023,1,144330468686.0,100525446384.0,2171604116.0,-0.0,172928955346.0,1.26,3.83
377330,2021,0,36298820793.0,19877871921.0,-30234973.0,,17747807445.0,-0.17,
377330,2022,1,70043823526.0,60767208342.0,-2975341670.0,92.96,21609028786.0,-13.77,
377330,2023,1,67376266696.0,55922179027.0,-3961876831.0,-3.81,35198119912.0,-11.26,9.62
377740,2022,1,1757001765786.0,1600152081938.0,295409547762.0,,479657089813.0,61.59,
377740,2023,0,1592842324191.0,1556575913051.0,-47041101526.0,-9.34,90080965589.0,-52.22,
378850,2021,1,402076178641.0,60296771828.0,8129763746.0,,505757693153.0,1.61,
378850,2022,1,422569200239.0,92660510400.0,15504096093.0,5.1,657927523502.0,2.36,
378850,2023,1,430773739630.0,112518168095.0,31781405221.0,1.94,680651664943.0,4.67,0.53
381970,2021,1,550023979312.0,275472387284.0,71108716318.0,,1902394224458.0,3.74,
381970,2022,4,534356690809.0,245821066878.0,50047663225.0,-2.85,2177261973592.0,2.3,
381970,2023,4,554118292957.0,234915872409.0,59013290449.0,3.7,2047566232203.0,2.88,1.02
382480,2021,1,63933748473.0,52371238843.0,4253031196.0,,19543532232.0,21.76,
382480,2022,1,76289353544.0,55132137406.0,6926041649.0,19.33,39647018076.0,17.47,
382480,2023,1,113673286082.0,91544322597.0,4499921853.0,49.0,36622011346.0,12.29,3.03
382840,2021,0,146364683814.0,96119574157.0,12347535639.0,,62091186942.0,19.89,
382840,2022,1,157321441763.0,111444812546.0,10891530920.0,7.49,143200037748.0,7.61,
382840,2023,1,200509976496.0,119253004443.0,4641272604.0,27.45,137256469129.0,3.38,8.68
383220,2021,1,1146494709343.0,547422966517.0,322683779494.0,,1089172086930.0,29.63,
383220,2022,1,1570179025400.0,943172288792.0,524882680312.0,36.95,1808894546708.0,29.02,
383220,2023,1,2005097998970.0,1317741413518.0,551835228989.0,27.7,1978495535892.0,27.89,0.43
383310,2021,1,128972657972.0,62759875821.0,13876915140.0,,90904348393.0,15.27,
383310,2022,1,184089524865.0,86489129235.0,41420546422.0,42.74,218237744878.0,18.98,
383310,2023,1,225812641050.0,110568912138.0,41780811675.0,22.66,228946023204.0,18.25,2.62
383800,2021,0,1442547000000.0,1414669000000.0,147184000000.0,,185812000000.0,79.21,
383800,2022,1,1635041000000.0,1611093000000.0,158908000000.0,13.34,236918000000.0,67.07,
383800,2023,1,1698527000000.0,1662848000000.0,73176000000.0,3.88,37913000000.0,193.01,8.58
393210,2023,1,37529865240.0,29774904789.0,2824665460.0,,26572393885.0,10.63,
396470,2023,1,62215756923.0,60688559658.0,1470379146.0,,12845576073.0,11.45,
403870,2022,1,260926477131.0,195371868774.0,85174462019.0,,159336322822.0,53.46,
403870,2023,1,320687606641.0,277080288653.0,95206074427.0,22.9,179086660832.0,53.16,
405100,2022,1,149211297139.0,104050033991.0,10285825829.0,,59628906235.0,17.25,
405100,2023,1,141787733651.0,100063768892.0,752199915.0,-4.98,53256955744.0,1.41,
405920,2023,0,131253791919.0,70035650838.0,196480866.0,,85325300237.0,0.23,
408920,2023,1,71652196302.0,59438356780.0,11169700575.0,,50814045322.0,21.98,
416180,2023,1,136415284618.0,97136168195.0,8372804515.0,,124673269789.0,6.72,
417200,2023,0,266198918960.0,203059842560.0,13568106930.0,,136884683735.0,9.91,
417790,2023,1,95520987058.0,89508351418.0,11387643245.0,,47174831935.0,24.14,
417970,2022,1,89371436912.0,62534626940.0,9728840719.0,,69975812653.0,13.9,
417970,2023,1,85112944918.0,61521968157.0,301611230.0,-4.76,64914985942.0,0.46,
419120,2022,1,67073837882.0,56059763817.0,8061085291.0,,18350443779.0,43.93,
419120,2023,1,65446540895.0,53945186164.0,2781120402.0,-2.43,14186687039.0,19.6,
420770,2023,1,225856375307.0,212614532291.0,35013634833.0,,91422516772.0,38.3,
425040,2022,0,202963300201.0,100813378445.0,53265371079.0,,351740130840.0,15.14,
425040,2023,2,432474269674.0,266556587935.0,21119641858.0,113.08,200782972392.0,10.52,
445180,2023,1,99179199349.0,83256336432.0,12837905687.0,,120458972206.0,10.66,
448280,2023,1,150017453524.0,131112058631.0,18231549937.0,,64821406710.0,28.13,
450140,2023,1,804299524207.0,190517018397.0,39353222705.0,,2403014479969.0,1.64,
452300,2023,1,36232865997.0,31025122392.0,-2432527988.0,,9508927375.0,-25.58,
452400,2023,0,92431576864.0,80795201543.0,10785623995.0,,118889585648.0,9.07,
453340,2023,1,880317203000.0,628510987000.0,64841641000.0,,1826998311000.0,3.55,
456040,2023,0,1990471193000.0,983528347000.0,57451316000.0,,1288825675000.0,4.46,
457550,2023,0,39456899439.0,33608449202.0,5893114729.0,,40682712915.0,14.49,
460850,2023,0,1710734507031.0,961632609276.0,26689442862.0,,1266149070283.0,2.11,
460860,2023,0,3531787086236.0,1721360857067.0,235489924847.0,,2632104129307.0,8.95,
900140,2015,1,512143989.0,328767775.0,42121704.0,,392886712.0,10.72,
900140,2016,1,571038885.0,362485427.0,48629925.0,11.5,338068515.0,14.38,
900140,2017,1,588596844.0,371213101.0,33211556.0,3.07,294692321.0,11.27,2.59
900140,2018,0,584618139.0,321660105.0,-13480287.0,-0.68,267223938.0,-5.04,1.97
900140,2019,0,586325742.0,281507281.0,2544972.0,0.29,312056446.0,0.82,8.73
900140,2020,0,595274738.0,329638115.0,566516.0,1.53,232369136.0,0.24,8.19
900140,2021,0,557947931.0,365001684.0,-12730017.0,-6.27,179008457.0,-7.11,8.15
900140,2022,0,526527912.0,324954679.0,-11162077.0,-5.63,192947521.0,-5.79,7.14
900140,2023,0,505537142.0,324405924.0,-11956674.0,-3.99,199528253.0,-5.99,3.65
900250,2015,0,995996820.0,884831567.0,170408309.0,,357855798.0,47.62,
900250,2016,2,1292107312.0,1168174614.0,184918792.0,29.73,372960261.0,49.58,
900250,2017,2,1465619644.0,1318041088.0,204568376.0,13.43,426778293.0,47.93,1.39
900250,2018,0,1715255866.0,1463198201.0,189363235.0,17.03,456949398.0,41.44,1.05
900250,2019,0,1802595136.0,1599015036.0,169263314.0,5.09,501794240.0,33.73,3.57
900250,2020,0,1934437617.0,1729142490.0,181972960.0,7.31,531593530.0,34.23,6.55
900250,2021,0,1912751918.0,1819208684.0,83395570.0,-1.12,351118416.0,23.75,7.41
900250,2022,0,2210622501.0,2071790125.0,100624504.0,15.57,407024441.0,24.72,9.08
900250,2023,0,2244691084.0,2121915614.0,126216500.0,1.54,446935129.0,28.24,7.37
900260,2016,1,1322593072.0,1081603857.0,206578611.0,,924581251.0,22.34,
900260,2017,1,1709668501.0,1215334235.0,210277612.0,29.27,1154352383.0,18.22,
900260,2018,0,1691952670.0,1283024224.0,94894139.0,-1.04,814683873.0,11.65,2.91
900260,2019,0,1999323535.0,1550201498.0,26148990.0,18.17,579679971.0,4.51,5.39
900260,2020,0,1825992492.0,1086829936.0,-20709641.0,-8.67,338851160.0,-6.11,7.81
900260,2021,0,1520918603.0,1128581025.0,-13901077.0,-16.71,166077166.0,-8.37,11.32
900260,2022,0,1537530568.0,1082478242.0,-34491000.0,1.09,444177019.0,-7.77,11.36
900260,2023,0,2301814360.0,1170119561.0,78950986.0,49.71,1969978518.0,4.01,8.89
900270,2016,1,1554544655.0,1158938823.0,220585011.0,,1142433981.0,19.31,
900270,2017,1,1702579982.0,1332492278.0,233021326.0,9.52,1198817973.0,19.44,
900270,2018,0,1847668159.0,1479403894.0,207551902.0,8.52,1204593418.0,17.23,0.09
900270,2019,0,2030985573.0,1676514280.0,260455844.0,9.92,1312408963.0,19.85,1.24
900270,2020,0,2010207084.0,1695967912.0,29277797.0,-1.02,839724178.0,3.49,1.17
900270,2021,0,2019721913.0,1694684704.0,16649554.0,0.47,686721451.0,2.42,6.99
900270,2022,0,2018572577.0,1705161759.0,22607300.0,-0.06,686965938.0,3.29,8.77
900270,2023,0,2049154505.0,1755736125.0,-757051.0,1.52,597014088.0,-0.13,8.54
900290,2017,1,2192229763.0,1737445838.0,352537086.0,,1424957577.0,24.74,
